Disease,Specialty,Symptoms,Precautions,Clinical Guidelines
"Fungal infection","Dermatologist","itching, skin rash, nodal skin eruptions, dischromic  patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths","If a patient presents with symptoms such as itching, skin rash, nodal skin eruptions, dischromic  patches, they should be triaged for potential Fungal infection. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths."
"Allergy","General Physician","continuous sneezing, shivering, chills, watering from eyes","apply calamine, cover area with bandage, use ice to compress itching","If a patient presents with symptoms such as continuous sneezing, shivering, chills, watering from eyes, they should be triaged for potential Allergy. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: apply calamine, cover area with bandage, use ice to compress itching."
"GERD","Gastroenterologist","stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","If a patient presents with symptoms such as stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain, they should be triaged for potential GERD. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise."
"Chronic cholestasis","Gastroenterologist","itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes","cold baths, anti itch medicine, consult doctor, eat healthy","If a patient presents with symptoms such as itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, they should be triaged for potential Chronic cholestasis. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: cold baths, anti itch medicine, consult doctor, eat healthy."
"Drug Reaction","Dermatologist","itching, skin rash, stomach pain, burning micturition, spotting  urination","stop irritation, consult nearest hospital, stop taking drug, follow up","If a patient presents with symptoms such as itching, skin rash, stomach pain, burning micturition, spotting  urination, they should be triaged for potential Drug Reaction. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: stop irritation, consult nearest hospital, stop taking drug, follow up."
"Peptic ulcer diseae","Gastroenterologist","vomiting, loss of appetite, abdominal pain, passage of gases, internal itching, indigestion","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","If a patient presents with symptoms such as vomiting, loss of appetite, abdominal pain, passage of gases, internal itching, indigestion, they should be triaged for potential Peptic ulcer diseae. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol."
"AIDS","General Physician","muscle wasting, patches in throat, high fever, extra marital contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up","If a patient presents with symptoms such as muscle wasting, patches in throat, high fever, extra marital contacts, they should be triaged for potential AIDS. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: avoid open cuts, wear ppe if possible, consult doctor, follow up."
"Diabetes","General Physician","fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria","have balanced diet, exercise, consult doctor, follow up","If a patient presents with symptoms such as fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria, they should be triaged for potential Diabetes. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: have balanced diet, exercise, consult doctor, follow up."
"Gastroenteritis","Gastroenterologist","vomiting, sunken eyes, dehydration, diarrhoea","stop eating solid food for while, try taking small sips of water, rest, ease back into eating","If a patient presents with symptoms such as vomiting, sunken eyes, dehydration, diarrhoea, they should be triaged for potential Gastroenteritis. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: stop eating solid food for while, try taking small sips of water, rest, ease back into eating."
"Bronchial Asthma","Pulmonologist","fatigue, cough, high fever, breathlessness, family history, mucoid sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help","If a patient presents with symptoms such as fatigue, cough, high fever, breathlessness, family history, mucoid sputum, they should be triaged for potential Bronchial Asthma. The recommended medical specialist to consult is a Pulmonologist. The patient should be advised to follow these precautions: switch to loose cloothing, take deep breaths, get away from trigger, seek help."
"Hypertension","General Physician","headache, chest pain, dizziness, loss of balance, lack of concentration","meditation, salt baths, reduce stress, get proper sleep","If a patient presents with symptoms such as headache, chest pain, dizziness, loss of balance, lack of concentration, they should be triaged for potential Hypertension. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: meditation, salt baths, reduce stress, get proper sleep."
"Migraine","Neurologist","acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor","If a patient presents with symptoms such as acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances, they should be triaged for potential Migraine. The recommended medical specialist to consult is a Neurologist. The patient should be advised to follow these precautions: meditation, reduce stress, use poloroid glasses in sun, consult doctor."
"Cervical spondylosis","Orthopedist","back pain, weakness in limbs, neck pain, dizziness, loss of balance","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor","If a patient presents with symptoms such as back pain, weakness in limbs, neck pain, dizziness, loss of balance, they should be triaged for potential Cervical spondylosis. The recommended medical specialist to consult is a Orthopedist. The patient should be advised to follow these precautions: use heating pad or cold pack, exercise, take otc pain reliver, consult doctor."
"Paralysis (brain hemorrhage)","Neurologist","vomiting, headache, weakness of one body side, altered sensorium","massage, eat healthy, exercise, consult doctor","If a patient presents with symptoms such as vomiting, headache, weakness of one body side, altered sensorium, they should be triaged for potential Paralysis (brain hemorrhage). The recommended medical specialist to consult is a Neurologist. The patient should be advised to follow these precautions: massage, eat healthy, exercise, consult doctor."
"Jaundice","Gastroenterologist","itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication","If a patient presents with symptoms such as itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain, they should be triaged for potential Jaundice. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication."
"Malaria","General Physician","chills, vomiting, high fever, sweating, headache, nausea, muscle pain, diarrhoea","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out","If a patient presents with symptoms such as chills, vomiting, high fever, sweating, headache, nausea, muscle pain, diarrhoea, they should be triaged for potential Malaria. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out."
"Chicken pox","Dermatologist","itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body","use neem in bathing, consume neem leaves, take vaccine, avoid public places","If a patient presents with symptoms such as itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body, they should be triaged for potential Chicken pox. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: use neem in bathing, consume neem leaves, take vaccine, avoid public places."
"Dengue","General Physician","skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body, malaise","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated","If a patient presents with symptoms such as skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body, malaise, they should be triaged for potential Dengue. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated."
"Typhoid","General Physician","chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain, headache","eat high calorie vegitables, antiboitic therapy, consult doctor, medication","If a patient presents with symptoms such as chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain, headache, they should be triaged for potential Typhoid. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: eat high calorie vegitables, antiboitic therapy, consult doctor, medication."
"hepatitis A","Gastroenterologist","joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication","If a patient presents with symptoms such as joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain, they should be triaged for potential hepatitis A. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: Consult nearest hospital, wash hands through, avoid fatty spicy food, medication."
"Hepatitis B","Gastroenterologist","itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections","consult nearest hospital, vaccination, eat healthy, medication","If a patient presents with symptoms such as itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections, they should be triaged for potential Hepatitis B. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: consult nearest hospital, vaccination, eat healthy, medication."
"Hepatitis C","Gastroenterologist","fatigue, yellowish skin, nausea, loss of appetite, family history, yellowing of eyes","Consult nearest hospital, vaccination, eat healthy, medication","If a patient presents with symptoms such as fatigue, yellowish skin, nausea, loss of appetite, family history, yellowing of eyes, they should be triaged for potential Hepatitis C. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: Consult nearest hospital, vaccination, eat healthy, medication."
"Hepatitis D","Gastroenterologist","joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes","consult doctor, medication, eat healthy, follow up","If a patient presents with symptoms such as joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, they should be triaged for potential Hepatitis D. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: consult doctor, medication, eat healthy, follow up."
"Hepatitis E","Gastroenterologist","joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding, acute liver failure","stop alcohol consumption, rest, consult doctor, medication","If a patient presents with symptoms such as joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding, acute liver failure, they should be triaged for potential Hepatitis E. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: stop alcohol consumption, rest, consult doctor, medication."
"Alcoholic hepatitis","Gastroenterologist","vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload","stop alcohol consumption, consult doctor, medication, follow up","If a patient presents with symptoms such as vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload, they should be triaged for potential Alcoholic hepatitis. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: stop alcohol consumption, consult doctor, medication, follow up."
"Tuberculosis","Pulmonologist","chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum","cover mouth, consult doctor, medication, rest","If a patient presents with symptoms such as chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum, they should be triaged for potential Tuberculosis. The recommended medical specialist to consult is a Pulmonologist. The patient should be advised to follow these precautions: cover mouth, consult doctor, medication, rest."
"Common Cold","General Physician","continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check","If a patient presents with symptoms such as continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain, they should be triaged for potential Common Cold. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check."
"Pneumonia","Pulmonologist","chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum, phlegm","consult doctor, medication, rest, follow up","If a patient presents with symptoms such as chills, fatigue, cough, high fever, breathlessness, sweating, malaise, chest pain, fast heart rate, rusty sputum, phlegm, they should be triaged for potential Pneumonia. The recommended medical specialist to consult is a Pulmonologist. The patient should be advised to follow these precautions: consult doctor, medication, rest, follow up."
"Dimorphic hemmorhoids(piles)","Gastroenterologist","constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice","If a patient presents with symptoms such as constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus, they should be triaged for potential Dimorphic hemmorhoids(piles). The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice."
"Heart attack","Cardiologist","vomiting, breathlessness, sweating, chest pain","call ambulance, chew or swallow asprin, keep calm","If a patient presents with symptoms such as vomiting, breathlessness, sweating, chest pain, they should be triaged for potential Heart attack. The recommended medical specialist to consult is a Cardiologist. The patient should be advised to follow these precautions: call ambulance, chew or swallow asprin, keep calm."
"Varicose veins","Dermatologist","fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long","If a patient presents with symptoms such as fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf, they should be triaged for potential Varicose veins. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long."
"Hypothyroidism","Endocrinologist","fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation","reduce stress, exercise, eat healthy, get proper sleep","If a patient presents with symptoms such as fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation, they should be triaged for potential Hypothyroidism. The recommended medical specialist to consult is a Endocrinologist. The patient should be advised to follow these precautions: reduce stress, exercise, eat healthy, get proper sleep."
"Hyperthyroidism","Endocrinologist","fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation","eat healthy, massage, use lemon balm, take radioactive iodine treatment","If a patient presents with symptoms such as fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation, they should be triaged for potential Hyperthyroidism. The recommended medical specialist to consult is a Endocrinologist. The patient should be advised to follow these precautions: eat healthy, massage, use lemon balm, take radioactive iodine treatment."
"Hypoglycemia","Endocrinologist","vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations, drying and tingling lips","lie down on side, check in pulse, drink sugary drinks, consult doctor","If a patient presents with symptoms such as vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations, drying and tingling lips, they should be triaged for potential Hypoglycemia. The recommended medical specialist to consult is a Endocrinologist. The patient should be advised to follow these precautions: lie down on side, check in pulse, drink sugary drinks, consult doctor."
"Osteoarthristis","Orthopedist","joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking","acetaminophen, consult nearest hospital, follow up, salt baths","If a patient presents with symptoms such as joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking, they should be triaged for potential Osteoarthristis. The recommended medical specialist to consult is a Orthopedist. The patient should be advised to follow these precautions: acetaminophen, consult nearest hospital, follow up, salt baths."
"Arthritis","Orthopedist","muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking","exercise, use hot and cold therapy, try acupuncture, massage","If a patient presents with symptoms such as muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking, they should be triaged for potential Arthritis. The recommended medical specialist to consult is a Orthopedist. The patient should be advised to follow these precautions: exercise, use hot and cold therapy, try acupuncture, massage."
"(vertigo) Paroymsal  Positional Vertigo","ENT Specialist","vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness","lie down, avoid sudden change in body, avoid abrupt head movment, relax","If a patient presents with symptoms such as vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness, they should be triaged for potential (vertigo) Paroymsal  Positional Vertigo. The recommended medical specialist to consult is a ENT Specialist. The patient should be advised to follow these precautions: lie down, avoid sudden change in body, avoid abrupt head movment, relax."
"Acne","Dermatologist","skin rash, pus filled pimples, blackheads, scurring","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products","If a patient presents with symptoms such as skin rash, pus filled pimples, blackheads, scurring, they should be triaged for potential Acne. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products."
"Urinary tract infection","Urologist","burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics","If a patient presents with symptoms such as burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine, they should be triaged for potential Urinary tract infection. The recommended medical specialist to consult is a Urologist. The patient should be advised to follow these precautions: drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics."
"Psoriasis","Dermatologist","skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths","If a patient presents with symptoms such as skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails, they should be triaged for potential Psoriasis. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths."
"Impetigo","Dermatologist","skin rash, high fever, blister, red sore around nose, yellow crust ooze","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor","If a patient presents with symptoms such as skin rash, high fever, blister, red sore around nose, yellow crust ooze, they should be triaged for potential Impetigo. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor."